,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
88,BBC,Sun Mar 18 10:00:08 +0000 2018,"“I regret spending £50,000 on my wedding.” https://t.co/6PxJsDf9dn https://t.co/eJdx7KMmmK",-0.4215,0.0,0.741,0.259,89
89,BBC,Sun Mar 18 09:30:03 +0000 2018,"How to be 20 on the inside, even when you’re 80 on the outside... https://t.co/KB2mqpkrIB",0.0,0.0,1.0,0.0,90
90,BBC,Sun Mar 18 09:19:33 +0000 2018,"RT @BBCNews: Snow and ice are bringing disruption to many parts of the UK - but they're not stopping everyone from having fun 🐶❄️

https://…",0.656,0.212,0.727,0.061,91
91,BBC,Sun Mar 18 09:10:02 +0000 2018,"RT @bbc5live: The beast from the east is back ❄️🌨️

You've been in touch this morning with your #uksnow pics, here are just a few...

What'…",0.0,0.0,1.0,0.0,92
92,BBC,Sat Mar 17 20:02:01 +0000 2018,"These seven celebrities are about to go on the journey of a lifetime... #Pilgrimage
https://t.co/m45UBXJew2",0.0,0.0,1.0,0.0,93
93,BBC,Sat Mar 17 19:21:02 +0000 2018,Can we just take a moment to discuss Eddie Redmanyne's coats?https://t.co/odVkhWyRKs,0.0,0.0,1.0,0.0,94
94,BBC,Sat Mar 17 18:32:01 +0000 2018,"Ouch! 😂🔥@GordonRamsay's daughter is hilarious... 
https://t.co/0dqwntX5uj",0.0,0.0,1.0,0.0,95
95,BBC,Sat Mar 17 18:03:04 +0000 2018,"🐜1⃣2⃣3⃣Sir David Attenborough explores whether there is counting in the natural world. 

David Attenborough's Natur… https://t.co/Q4H4uXR4pt",0.3612,0.143,0.857,0.0,96
96,BBC,Sat Mar 17 17:30:07 +0000 2018,One of the writers for The Simpsons has told @BBCNewsbeat Stephen Hawking was such a big fan of the show - he'd sho… https://t.co/Jjer3V4cYk,0.3182,0.099,0.901,0.0,97
97,BBC,Sat Mar 17 17:00:08 +0000 2018,"🎓📚 'The moment I gave Reese Witherspoon my Legally Blonde dissertation... and yes, it was scented.'
👉… https://t.co/z8x5mqqKoW",0.4767,0.215,0.785,0.0,98
98,BBC,Sat Mar 17 16:39:39 +0000 2018,RT @BBCWorld: Blossom in south-west China captured by drone https://t.co/gIDKUn1La6,0.0,0.0,1.0,0.0,99
99,BBC,Sat Mar 17 15:03:12 +0000 2018,"This year, over 250 landmarks across the globe are going green for #StPatricksDay! 🍀 https://t.co/TlWqU0TXQT https://t.co/i4sW4OaGrQ",0.0,0.0,1.0,0.0,100
100,CBS,Wed Mar 21 18:00:01 +0000 2018,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8,0.0,0.0,1.0,0.0,1
101,CBS,Tue Mar 20 20:00:01 +0000 2018,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC,0.5106,0.142,0.858,0.0,2
102,CBS,Tue Mar 20 17:58:43 +0000 2018,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,0.0,0.0,1.0,0.0,3
103,CBS,Tue Mar 20 16:52:42 +0000 2018,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,0.5562,0.174,0.826,0.0,4
104,CBS,Tue Mar 20 16:11:00 +0000 2018,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",0.0,0.0,1.0,0.0,5
105,CBS,Mon Mar 19 21:02:26 +0000 2018,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ❤️ Get ready to celebrate 45 years of #YR starting in just…",0.7845,0.309,0.619,0.072,6
106,CBS,Sun Mar 18 23:44:30 +0000 2018,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,0.0,0.0,1.0,0.0,7
107,CBS,Sun Mar 18 18:05:43 +0000 2018,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,0.6514,0.213,0.787,0.0,8
108,CBS,Sun Mar 18 17:09:53 +0000 2018,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",0.1867,0.08,0.92,0.0,9
109,CBS,Sat Mar 17 19:00:02 +0000 2018,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",0.0,0.0,1.0,0.0,10
110,CBS,Sat Mar 17 17:42:43 +0000 2018,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,0.6166,0.161,0.839,0.0,11
111,CBS,Sat Mar 17 14:00:03 +0000 2018,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,0.7096,0.247,0.753,0.0,12
112,CBS,Fri Mar 16 22:53:21 +0000 2018,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,0.296,0.104,0.896,0.0,13
113,CBS,Fri Mar 16 18:15:53 +0000 2018,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",0.0,0.0,1.0,0.0,14
114,CBS,Fri Mar 16 16:28:40 +0000 2018,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,0.6514,0.178,0.822,0.0,15
115,CBS,Thu Mar 15 17:54:06 +0000 2018,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…",0.7088,0.237,0.763,0.0,16
116,CBS,Thu Mar 15 17:20:26 +0000 2018,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,-0.4939,0.077,0.766,0.157,17
117,CBS,Thu Mar 15 16:42:41 +0000 2018,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,0.6514,0.194,0.806,0.0,18
118,CBS,Thu Mar 15 14:32:16 +0000 2018,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,0.6115,0.266,0.734,0.0,19
119,CBS,Wed Mar 14 19:30:01 +0000 2018,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",0.6696,0.219,0.781,0.0,20
120,CBS,Tue Mar 13 18:48:52 +0000 2018,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",0.3612,0.143,0.857,0.0,21
121,CBS,Tue Mar 13 14:15:10 +0000 2018,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",0.539,0.179,0.821,0.0,22
122,CBS,Mon Mar 12 18:13:28 +0000 2018,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,0.2244,0.083,0.917,0.0,23
